"cell","Agbl1","Bank1","Ccl5","Ccr9","Cd79a","Chil3","Cldn5","Col1a2","Col3a1","Ddx60","Dhx58","Gzma","Ifi30","Ifi35","Ifih1","Ifit1","Ifit2","Ifit3","Isg15","Kcnip4","Pkib","Prickle2","Retnlg","Rsad2","S100a8","S100a9","Samhd1","Sftpa1","Sftpb","St8sia6","Stat1","Usp18","Znfx1","unknow"
"(2237.66, 1962.76)",2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"(2237.70, 778.59)",0,0,0,0,3,0,2,0,1,3,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,2,10,3
"(2237.74, 683.25)",0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,1
"(2237.77, 2228.00)",6,5,3,2,2,0,4,8,16,3,0,0,0,0,0,0,0,0,0,9,1,0,10,2,0,0,0,0,1,0,1,8,12,6
"(2237.88, 1885.93)",8,5,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,1,1,13,0
"(2237.88, 390.77)",4,3,1,0,2,0,0,1,4,3,0,0,0,0,0,0,0,0,2,8,0,1,0,6,0,0,1,0,0,0,3,41,6,11
"(2238.12, 1729.36)",2,1,0,0,3,0,3,0,0,4,0,1,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,1,0,0,0,4,6,6
"(2238.24, 1382.47)",4,1,0,1,3,0,1,1,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,1,0,0,0,0,7,4,2
"(2238.33, 1808.93)",0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,5
"(2238.55, 812.13)",2,22,0,1,0,0,1,0,4,9,0,0,1,0,1,0,0,0,0,1,0,0,0,4,1,0,0,8,15,1,0,1,9,10
"(2238.74, 1304.31)",0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,6,1,7
"(2238.90, 1515.56)",2,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,4,2
"(2238.95, 1294.40)",0,3,0,0,1,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
"(2238.95, 1320.23)",1,18,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,1,23,0,0,7,5,3
"(2239.03, 2156.45)",3,2,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,4,3
"(2239.14, 11.61)",5,3,0,0,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,3,1,0,13,0,1
"(2239.32, 1368.09)",2,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,1
"(2239.34, 2048.15)",0,19,0,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,1,4,0,2,0,0,1,0,0,0,13,2,0,3,0,1
"(2239.35, 2643.65)",0,2,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,1,2,0,0,0,1,1,0,0,1,0,0,0,2,4,4,9
"(2239.38, 1137.59)",3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1
"(2239.42, 2425.18)",0,0,0,0,0,0,0,1,13,2,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,2,5,0,0,4,4,2
"(2239.48, 983.59)",1,0,0,0,2,0,0,5,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,1
"(2239.66, 1211.37)",0,2,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"(2239.68, 629.65)",2,2,0,1,0,0,0,2,4,3,0,0,0,0,1,0,0,0,1,2,1,0,4,0,0,0,1,0,0,1,0,2,6,4
"(2239.73, 492.82)",0,1,0,0,0,0,1,1,3,3,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,3,2,1
"(2239.76, 431.14)",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
"(224.02, 2589.04)",0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4
"(224.09, 952.93)",0,5,1,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4,0,0,3,0,2
"(224.78, 2449.41)",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,5,0,6
"(224.97, 878.79)",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"(2240.03, 1605.51)",0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,2,1
"(2240.04, 1258.29)",0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,2
"(2240.04, 2305.02)",0,0,0,0,1,0,0,1,1,6,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,12,4
"(2240.23, 1532.61)",7,1,0,0,1,0,4,2,4,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,2,2
"(2240.23, 2800.97)",3,1,0,1,3,0,0,1,1,8,0,0,1,1,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,2,6,7,7
"(2240.24, 1487.78)",3,15,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,2,0,2,13,0,1,0,2,3
"(2240.35, 720.00)",1,2,0,0,0,0,0,2,6,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,1
"(2240.36, 827.12)",3,4,0,1,7,1,1,0,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,0,5,5,0
"(2240.43, 1920.67)",1,2,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,2,4,0
"(2240.58, 765.58)",2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1
"(2240.63, 2561.40)",1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,7,8,2
"(2240.66, 1994.31)",0,10,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0,0,6,3,0
"(2240.92, 1696.21)",0,3,0,0,1,0,0,3,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,2,0
"(2240.97, 1953.69)",0,6,1,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1,0,0,2,2,6
"(2241.00, 877.16)",2,1,1,0,0,0,0,3,3,2,0,2,0,0,0,0,0,0,1,6,0,0,1,2,0,0,0,0,0,0,0,8,0,0
"(2241.07, 2394.69)",1,16,5,0,1,0,0,2,10,4,0,0,0,1,0,0,0,0,3,14,0,0,1,0,1,0,0,3,5,0,1,7,12,6
"(2241.09, 567.97)",3,6,1,0,3,0,0,6,9,14,0,0,0,0,1,0,0,0,1,10,0,2,1,1,0,0,0,0,6,0,4,21,13,14
"(2241.10, 1836.80)",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"(2241.18, 2452.07)",0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,3,0,0,3,2,1
"(2241.39, 643.02)",3,5,1,0,1,0,0,0,2,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,3,8,4,5
"(2241.51, 1653.96)",1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,7,4
"(2241.56, 1569.89)",0,1,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,7,2,1
"(2241.57, 1456.48)",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"(2241.73, 1440.21)",1,10,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,7,0,0,4,4,3
"(2241.77, 2654.79)",0,2,0,0,2,0,0,0,3,7,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,3,3,5
"(2241.98, 1248.80)",0,5,0,0,1,1,0,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,0,1,10,1,2
"(2242.02, 472.11)",9,5,1,0,13,0,3,5,7,4,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,1,2,0,2,1,3,24,16
"(2242.41, 2598.17)",0,14,0,0,0,0,0,2,5,3,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,1,1,3,0,1,6,7,3
"(2242.45, 1426.08)",5,6,0,0,4,0,1,1,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,1,1
"(2242.57, 2581.37)",0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,2,2,0,2,3,1,2
"(2242.63, 1638.79)",1,0,0,0,9,0,2,0,0,13,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,4,0,0,0,1,2,8,8
"(2242.99, 445.84)",0,1,0,0,10,0,0,3,1,8,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,1,1,5,5,4
"(2243.06, 692.37)",0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3,1,0
"(2243.34, 1755.57)",1,2,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,5,0,1,0,3,0,0,0,0,1,0,0,3,4,3
"(2243.50, 2121.84)",1,8,0,0,1,0,0,12,4,3,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,1,0,2,8,2
"(2243.60, 618.02)",2,7,3,0,5,0,4,3,3,8,0,0,0,0,0,2,0,0,2,15,1,2,3,2,0,0,0,0,0,0,0,6,9,7
"(2243.67, 740.20)",1,1,0,0,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,6,5,0
"(2243.74, 1468.79)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,1,1
"(2243.84, 64.62)",3,6,0,1,10,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,2,0,2,3,6,4
"(2244.11, 2342.08)",0,1,0,0,1,0,0,0,0,8,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,3
"(2244.18, 1127.88)",1,21,0,0,1,1,0,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,3,1,5
"(2244.31, 105.72)",0,3,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,1,1,0,0,1,5,3
"(2244.31, 166.95)",3,3,3,0,2,0,0,3,11,2,0,3,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,4,6,0,1,10,8,2
"(2244.38, 1977.00)",4,1,0,1,2,0,1,5,7,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,11,8,1
"(2244.55, 153.55)",9,14,1,1,3,0,0,1,6,9,0,0,0,0,0,0,0,0,0,20,0,2,0,2,0,0,1,2,0,0,2,13,17,10
"(2244.74, 1359.20)",0,3,0,0,6,0,2,0,1,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5,2,5
"(2244.76, 2366.68)",3,2,1,0,2,0,0,5,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,1,0,1,0,0,6,5,1
"(2244.85, 1612.25)",2,0,0,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1
"(2244.85, 2281.62)",3,0,0,1,4,0,2,2,6,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,5,4,6
"(2244.93, 2220.99)",2,0,0,0,3,0,0,2,7,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8,7,7
"(2245.04, 1337.32)",2,1,0,0,3,0,1,2,6,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1,2,0,7,2,4
"(2245.11, 598.78)",2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,1,2,1
"(2245.15, 1498.87)",0,12,0,0,1,4,0,1,5,3,0,0,0,0,0,0,0,0,1,2,0,5,1,1,0,0,0,2,12,0,0,2,4,1
"(2245.25, 1825.34)",1,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"(2245.30, 864.71)",1,0,0,0,3,0,1,0,1,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,3,1,0
"(2245.32, 523.33)",1,1,0,0,10,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0
