"cell","Agbl1","Angptl4","Bank1","Ccl5","Ccr9","Cd226","Cd44","Cd79a","Chil3","Cldn5","Col1a2","Col3a1","Col4a1","Col6a1","Col6a2","Col6a3","Ddx60","Dhx58","Gzma","H5NA","HA","Ifi30","Ifi35","Ifih1","Ifit1","Ifit2","Ifit3","Isg15","Kcnip4","M","NP","NS","Nectin2","PA","PA.97T","PA.T97I","PB1","PB2","PB2.192E","PB2.220I","PB2.627E","PB2.E192K","PB2.E627K","PB2.I220V","Pkib","Prickle2","Retnlg","Rsad2","S100a8","S100a9","Samhd1","Sdc2","Sdc4","Sftpa1","Sftpb","St8sia6","Stat1","Tlr4","Usp18","Znfx1"
"(779.72, 983.36)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0
"(779.98, 1970.28)",2,2,1,0,0,0,0,0,0,0,2,2,0,0,1,0,7,0,0,1,0,1,1,3,0,0,0,1,0,9,1,2,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,6,0,0,0,1,3,1,0,1,4,0,0,5
"(78.62, 1102.17)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
"(78.78, 643.81)",0,0,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,2,0,5,0,1,0,0,0,0,1,8,0,1,6,1,0,0,0,0,1,1,2,0,0,0,7,0,0,1,0,5,0,0,0,2,11,1,0,1,1,0,3,0
"(780.00, 551.41)",0,0,1,0,0,1,0,1,3,0,0,0,0,44,1,0,11,1,0,2,3,1,1,2,1,1,0,6,0,7,1,6,0,2,0,0,2,0,0,1,26,2,3,0,0,0,0,8,0,3,0,3,25,26,24,0,3,0,0,3
"(780.05, 1396.36)",0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,2,3,0,0,0,0,0,2,0,1,5,2,0,2,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,6,9,3,8,0,1,0,1,0
"(780.09, 1742.24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"(780.84, 2749.29)",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,1,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,15,0,0,3,3,8,0,0,0,2,5,2,3
"(781.35, 957.76)",1,0,0,0,0,0,0,0,1,0,3,0,0,8,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,1,6,3,16,17,0,1,0,0,0
"(781.59, 1006.89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3
