cell,Agbl1,Angptl4,Bank1,Ccl5,Ccr9,Cd226,Cd44,Cd79a,Chil3,Cldn5,Col1a2,Col3a1,Col4a1,Col6a1,Col6a2,Col6a3,Ddx60,Dhx58,Gzma,H5NA,HA,Ifi30,Ifi35,Ifih1,Ifit1,Ifit2,Ifit3,Isg15,Kcnip4,M,NP,NS,Nectin2,PA,PA.97T,PA.T97I,PB1,PB2,PB2.192E,PB2.220I,PB2.627E,PB2.E192K,PB2.E627K,PB2.I220V,Pkib,Prickle2,Retnlg,Rsad2,S100a8,S100a9,Samhd1,Sdc2,Sdc4,Sftpa1,Sftpb,St8sia6,Stat1,Tlr4,Usp18,Znfx1
"(680.40, 332.31)",8,1,1,0,0,0,0,0,0,1,5,4,0,1,0,0,2,0,0,0,0,0,1,0,0,0,3,2,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,3,0,0,2,8,5,0,0,0,2,6,0,10
"(680.50, 992.50)",0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,1,1,3
"(680.53, 1537.51)",0,0,0,0,0,0,2,2,0,0,1,4,0,0,0,1,17,6,0,1,0,2,0,5,2,2,12,12,3,1,0,0,0,0,15,0,0,0,0,26,7,0,0,0,1,0,2,12,0,0,0,0,1,0,0,0,0,27,7,0
"(680.97, 1037.06)",0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2
"(680.97, 2747.35)",8,8,8,2,0,1,1,8,1,8,2,6,4,1,1,3,17,0,2,1,2,0,0,3,0,1,1,0,33,13,0,10,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,12,4,5,4,0,0,10,1,2
"(681.03, 1240.02)",5,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,1,2,0,5
"(681.08, 1268.68)",1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,4,12,1,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,4
"(681.09, 417.80)",0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,2,0,3
"(681.34, 2012.46)",2,4,4,0,0,0,0,1,0,0,3,3,0,1,0,1,3,0,0,0,0,0,0,0,2,1,3,8,4,0,0,0,0,0,6,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,7,3,2,1,0,1,15,0,8
"(681.38, 1628.94)",0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1
"(681.40, 2637.85)",1,1,3,0,0,0,0,2,0,0,0,17,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,3,1,1,0,0,3,0,4
"(681.41, 389.18)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(681.61, 2622.66)",0,3,2,0,0,0,2,1,0,1,4,8,1,6,0,0,4,0,0,0,0,1,1,0,0,0,0,4,0,0,0,2,1,0,10,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,5,3,0,0,0,1,4,0,4
"(681.66, 1293.42)",0,0,0,1,0,0,0,3,0,0,0,7,0,0,0,0,2,0,0,0,0,0,1,2,1,2,1,2,1,2,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,7
"(681.73, 1825.71)",10,2,3,0,0,0,1,2,0,1,5,17,1,2,0,0,12,0,0,0,0,3,0,1,0,0,0,4,5,5,0,2,0,0,14,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,7,5,1,0,0,1,5,5,2
"(681.85, 458.96)",7,2,8,0,0,0,0,2,0,3,0,2,0,0,0,0,2,0,0,0,1,0,4,1,0,2,1,4,2,2,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,7,1,5
"(682.00, 660.77)",0,3,1,0,0,0,0,8,0,0,3,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,4,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,3
"(682.17, 684.48)",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"(682.19, 1838.22)",3,1,6,0,0,0,0,2,0,4,0,1,1,0,1,0,1,4,0,0,0,0,2,0,0,0,0,8,8,2,0,0,0,0,9,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,4,5,2,3,1,0,5,0,0
"(682.25, 2549.70)",3,7,5,1,0,1,1,6,0,0,0,11,1,1,0,0,6,0,0,4,5,2,1,0,0,0,2,1,5,2,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,1,3,4,1,0,0,1,3,0,5
