,cell,Agbl1,Angptl4,Bank1,Ccl5,Ccr9,Cd226,Cd44,Cd79a,Chil3,Cldn5,Col1a2,Col3a1,Col4a1,Col6a1,Col6a2,Col6a3,Ddx60,Dhx58,Gzma,H5NA,HA,Ifi30,Ifi35,Ifih1,Ifit1,Ifit2,Ifit3,Isg15,Kcnip4,M,NP,NS,Nectin2,PA,PA.97T,PA.T97I,PB1,PB2,PB2.192E,PB2.220I,PB2.627E,PB2.E192K,PB2.E627K,PB2.I220V,Pkib,Prickle2,Retnlg,Rsad2,S100a8,S100a9,Samhd1,Sdc2,Sdc4,Sftpa1,Sftpb,St8sia6,Stat1,Tlr4,Usp18,Znfx1,cluster
2439,"(2126.65, 1060.03)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,2,3,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,18,0,0,4,0,5,0,0,1,7,0,2,16,T_cells
2440,"(2126.76, 2600.45)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Fibroblasts
2441,"(2128.18, 2581.18)",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,Fibroblasts
2442,"(2128.21, 1990.42)",8,0,0,0,1,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,5,0,8,0,2,0,3,1,Endothelial_cells
2443,"(2129.24, 743.12)",0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,7,1,0,0,0,1,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,5,12,0,13,0,1,0,0,3,Epithelial_cells
2444,"(213.28, 98.78)",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,2,1,0,0,0,0,1,3,0,3,2,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,7,1,B_cells
2445,"(213.34, 1967.90)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,B_cells
2446,"(213.93, 1257.97)",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,8,3,1,0,0,1,0,8,Macrophages
2447,"(2130.26, 366.84)",0,4,0,0,0,1,1,0,1,0,13,3,1,3,5,0,4,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,0,0,0,2,0,0,2,Fibroblasts
2448,"(2130.63, 2196.90)",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,8,0,0,0,1,0,0,3,B_cells
