,cell,Agbl1,Angptl4,Bank1,Ccl5,Ccr9,Cd226,Cd44,Cd79a,Chil3,Cldn5,Col1a2,Col3a1,Col6a1,Ddx60,Dhx58,Gzma,Ifi30,Ifi35,Ifih1,Ifit1,Ifit2,Ifit3,Isg15,Kcnip4,Nectin2,Pkib,Prickle2,Retnlg,Rsad2,S100a8,S100a9,Samhd1,Sdc2,Sdc4,Sftpa1,Sftpb,St8sia6,Stat1,Tlr4,Usp18,Znfx1,unknow,cluster
64,"(1047.69, 941.19)",1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,5,0,0,0,0,0,0,B_cells
65,"(1047.81, 1011.50)",0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,B_cells
66,"(1048.85, 1987.87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Undefined
67,"(1048.98, 2158.20)",0,1,2,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,2,0,0,0,1,0,0,Undefined
68,"(1049.39, 389.46)",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,2,0,Fibroblasts
69,"(1049.80, 2193.67)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,Undefined
70,"(105.41, 1684.02)",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,NK_cells
71,"(105.62, 2677.31)",2,2,6,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,14,15,4,18,0,0,0,0,0,8,Endothelial_cells
72,"(1050.40, 474.51)",0,0,1,0,0,0,0,1,2,0,1,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,Macrophages
73,"(1050.54, 1472.99)",0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,Endothelial_cells
74,"(1050.57, 1789.35)",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fibroblasts
75,"(1051.08, 894.67)",1,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,6,4,0,2,0,0,1,1,Epithelial_cells
76,"(1051.75, 2300.19)",3,0,0,0,0,0,0,5,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,2,0,B_cells
77,"(1054.51, 2839.41)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Undefined
78,"(1057.73, 978.67)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Undefined
79,"(1058.35, 1602.34)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,1,Neutrophils
80,"(1059.75, 713.54)",2,0,0,0,0,0,0,0,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Fibroblasts
81,"(106.20, 1448.33)",0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,B_cells
82,"(106.65, 2639.72)",1,1,2,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,2,12,1,0,0,0,0,3,T_cells
83,"(1060.39, 1908.02)",1,0,1,1,0,0,0,0,1,0,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,3,4,2,0,1,0,0,0,0,NK_cells
84,"(1062.93, 2276.16)",3,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,4,5,0,0,0,0,0,0,3,2,Endothelial_cells
85,"(1063.37, 1377.46)",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,1,1,Neutrophils
86,"(1064.30, 1963.48)",0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,B_cells
87,"(1065.31, 1547.48)",2,0,2,0,0,0,0,1,0,0,0,4,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,3,2,1,0,0,0,0,0,0,3,Neutrophils
88,"(1066.02, 1859.71)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Undefined
89,"(1066.18, 529.52)",5,0,1,0,0,0,0,1,0,5,1,0,2,8,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,9,4,1,0,0,2,0,1,5,0,Undefined
90,"(1066.75, 248.55)",0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,NK_cells
91,"(1066.76, 215.17)",2,0,2,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,2,10,0,1,0,0,5,1,Epithelial_cells
92,"(1067.12, 1303.86)",2,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,3,2,Undefined
93,"(1067.36, 442.76)",5,0,3,0,0,0,0,0,0,11,1,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,1,0,2,0,0,4,2,Endothelial_cells
94,"(1067.39, 2100.72)",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,1,Neutrophils
95,"(1067.69, 1631.86)",1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,0,3,0,1,1,0,0,0,Endothelial_cells
